control_id,title,family,baseline,status,responsible_party,implementing_artifact,remediating_phase,poam_id,notes
PS-1,Policy and Procedures,PS,Moderate,Planned,CSP,see P12,P12,POAM-010,PS -1 policy authored in P12.
PS-2,Position Risk Designation,PS,Moderate,Planned,CSP,see P12,P12,,Position risk designation in P12.
PS-3,Personnel Screening,PS,Moderate,Inherited,Customer,Inherited from CSP/operator HR,P12,,Personnel screening inherited from operator org; verified P12.
PS-4,Personnel Termination,PS,Moderate,Planned,CSP,see P12,P12,,Termination/offboarding procedure in P12.
PS-5,Personnel Transfer,PS,Moderate,Planned,CSP,see P12,P12,,Transfer procedure in P12.
PS-6,Access Agreements,PS,Moderate,Planned,CSP,see P12,P12,,Access agreements in P12.
PS-7,External Personnel Security,PS,Moderate,Planned,CSP,see P12,P12,,External-personnel security in P12.
PS-8,Personnel Sanctions,PS,Moderate,Planned,CSP,see P12,P12,,Sanctions process in P12.
PS-9,Position Descriptions,PS,Moderate,Planned,CSP,see P12,P12,,Security position descriptions in P12.
RA-1,Policy and Procedures,RA,Moderate,Planned,CSP,see P12,P12,POAM-010,RA -1 policy authored in P12.
RA-2,Security Categorization,RA,Moderate,Implemented,CSP,docs/compliance/categorization/FIPS-199.md,P0,,FIPS-199 Moderate categorization completed in P0.
RA-3,Risk Assessment,RA,Moderate,Partial,CSP,.omc/research/fedramp-cis-gap-analysis.json,P0,,Grounded 12-dimension gap analysis serves as initial risk assessment; formal RA in P12.
RA-3(1),Risk Assessment | Supply Chain Risk Assessment,RA,Moderate,Planned,System,see P6,P6,,Supply-chain risk assessment (SBOM/provenance) in P6.
RA-5,Vulnerability Monitoring and Scanning,RA,Moderate,Partial,System,.github/workflows/ci.yml (trivy),P6,POAM-008,Trivy fs/image scan exists but non-gating; authenticated monthly gating scans + SLA in P6/P11.
RA-5(2),Vulnerability Monitoring and Scanning | Update Vulnerabilities to Be Scanned,RA,Moderate,Planned,System,see P6,P6,,Scanner DB auto-update + cadence in P6/P11.
RA-5(5),Vulnerability Monitoring and Scanning | Privileged Access,RA,Moderate,Planned,System,see P11,P11,,Authenticated/credentialed scanning configured in P11.
RA-7,Risk Response,RA,Moderate,Partial,CSP,docs/compliance/poam.csv,P0,,Risk response tracked via POA&M; closure across P1-P12.
SA-1,Policy and Procedures,SA,Moderate,Planned,CSP,see P12,P12,POAM-010,SA -1 policy authored in P12.
SA-2,Allocation of Resources,SA,Moderate,Planned,CSP,see P12,P12,,Resource allocation for security in P12.
SA-3,System Development Life Cycle,SA,Moderate,Partial,CSP,CONTRIBUTING.md,P11,,"SDLC scaffold exists (CI, PR review); secure-SDLC formalized in P11."
SA-4,Acquisition Process,SA,Moderate,Planned,CSP,see P12,P12,,Acquisition/security-requirements language in P12.
SA-4(1),Acquisition Process | Functional Properties of Controls,SA,Moderate,Planned,CSP,see P12,P12,,Functional-property requirements in P12.
SA-4(2),Acquisition Process | Design and Implementation Information for Controls,SA,Moderate,Planned,CSP,see P12,P12,,Design/impl documentation in P12.
SA-4(9),"Acquisition Process | Functions, Ports, Protocols, and Services in Use",SA,Moderate,Partial,System,docs/compliance/system-facts.md (ports table),P0,,Ports/protocols/services documented in facts sheet; finalized in SSP P12.
SA-4(10),Acquisition Process | Use of Approved PIV Products,SA,Moderate,Planned,Shared,see P3,P3,,PIV product use via IdP federation (P3).
SA-5,System Documentation,SA,Moderate,Partial,System,README.md,P11,,Engineering docs exist; admin/security documentation completed in P11/P12.
SA-8,Security and Privacy Engineering Principles,SA,Moderate,Partial,System,docs/compliance/system-facts.md,P0,,Trust-zone/fail-closed design principles applied; documented across P0-P12.
SA-9,External System Services,SA,Moderate,Planned,CSP,see P12,P12,,External-service agreements (CSP/IdP) in P12.
SA-9(2),"External System Services | Identification of Functions, Ports, Protocols, and Services",SA,Moderate,Partial,System,docs/compliance/system-facts.md (ICX-01..06),P4,,External connections ICX-01..06 enumerated; agreements in P12.
SA-10,Developer Configuration Management,SA,Moderate,Partial,System,.github/workflows/release.yml,P6,,Versioned build via CI/Helm; provenance/SBOM integrity in P6.
SA-11,Developer Testing and Evaluation,SA,Moderate,Partial,System,.github/workflows/ci.yml,P11,,Unit tests + trivy/scan exist (non-gating); enforced SAST/DAST/coverage gates in P11.
SA-11(1),Developer Testing and Evaluation | Static Code Analysis,SA,Moderate,Planned,System,see P11,P11,POAM-008,CodeQL/gosec gating SAST added in P11.
SA-11(8),Developer Testing and Evaluation | Dynamic Code Analysis,SA,Moderate,Planned,System,see P11,P11,,DAST/fuzz harness added in P11.
SA-15,"Development Process, Standards, and Tools",SA,Moderate,Partial,System,Makefile,P11,,Toolchain/Make targets exist; documented secure dev process + tool baseline in P11.
SA-15(3),Development Process | Criticality Analysis,SA,Moderate,Planned,System,see P11,P11,,Criticality analysis integrated in P11.
SA-22,Unsupported System Components,SA,Moderate,Planned,System,see P1,P1,,Go 1.25 toolchain alignment + EOL removal in P1; ongoing in P6/P11.
SC-1,Policy and Procedures,SC,Moderate,Planned,CSP,see P12,P12,POAM-010,SC -1 policy authored in P12.
SC-2,Separation of System and User Functionality,SC,Moderate,Partial,System,cmd/dashboard/proxy.go,P3,,Dashboard BFF separates UI from API; management/enforcement plane split formalized in P3/P4.
SC-4,Information in Shared System Resources,SC,Moderate,Planned,System,charts/kube-policies/values.yaml,P5,,readOnlyRootFilesystem + non-root reduce residual data; formalized in P5.
SC-5,Denial-of-Service Protection,SC,Moderate,Planned,System,see P4,P4,,Rate limiting + resource limits + fail-closed posture in P4/P8.
SC-6,Resource Availability,SC,Moderate,Partial,System,cmd/admission-webhook/main.go (leader election),P8,,Replicas + leader election aid availability; PDB/anti-affinity/limits in P8.
SC-7,Boundary Protection,SC,Moderate,Planned,System,"charts/kube-policies/templates/ (NetworkPolicy, P4)",P4,POAM-004,No NetworkPolicy today; default-deny boundary + scoped flows in P4.
SC-7(3),Boundary Protection | Access Points,SC,Moderate,Planned,System,see P4,P4,POAM-004,Limit/manage access points via ingress + NetworkPolicy in P4.
SC-7(4),Boundary Protection | External Telecommunications Services,SC,Moderate,Planned,System,see P4,P4,,Scoped egress (DNS/apiserver only) + traffic agreements in P4.
SC-7(5),Boundary Protection | Deny by Default - Allow by Exception,SC,Moderate,Planned,System,"charts/kube-policies/templates/ (NetworkPolicy, P4)",P4,POAM-004,Default-deny ingress+egress NetworkPolicy with scoped allow in P4.
SC-7(7),Boundary Protection | Split Tunneling for Remote Devices,SC,Moderate,Planned,System,see P4,P4,,Split-tunnel prevention via egress policy in P4.
SC-8,Transmission Confidentiality and Integrity,SC,Moderate,Partial,System,cmd/admission-webhook/main.go:269-280,P4,POAM-003,Bright spot: webhook serves TLS 1.3 with fixed cipher suites; other planes plaintext - TLS/mTLS in P3/P4.
SC-8(1),Transmission Confidentiality and Integrity | Cryptographic Protection,SC,Moderate,Partial,System,cmd/admission-webhook/main.go:269-280,P4,POAM-003,Webhook TLS1.3 cryptographic protection present (ICX-01); in-cluster mTLS for ICX-02/04 in P4.
SC-10,Network Disconnect,SC,Moderate,Planned,System,see P3,P3,,Session/idle disconnect on management plane in P3.
SC-12,Cryptographic Key Establishment and Management,SC,Moderate,Planned,System,charts/kube-policies/templates/admission-webhook-tls.yaml,P2,POAM-005,Cert/secret material exists but no lifecycle; PKI key mgmt + rotation in P2.
SC-12(2),Cryptographic Key Establishment | Symmetric Keys,SC,Moderate,Planned,System,see P2,P2,,Symmetric key mgmt (audit HMAC key) in P2.
SC-12(3),Cryptographic Key Establishment | Asymmetric Keys,SC,Moderate,Planned,System,see P2,P2,,Asymmetric key mgmt (TLS/mTLS certs) in P2.
SC-13,Cryptographic Protection,SC,Moderate,Planned,System,see P2,P2,POAM-005,No FIPS-validated module today; FIPS-140-3 (GOFIPS140) crypto in P2.
SC-15,Collaborative Computing Devices and Applications,SC,Moderate,Not-Applicable,System,N/A - no collaborative computing,P4,,System has no collaborative-computing (mic/camera) components.
SC-17,Public Key Infrastructure Certificates,SC,Moderate,Planned,System,see P2,P2,POAM-005,PKI certificate issuance/management (cert-manager or equivalent) in P2.
SC-18,Mobile Code,SC,Moderate,Planned,System,web/,P5,,Svelte SPA mobile code; CSP headers + integrity controls in P5.
SC-20,Secure Name/Address Resolution Service (Authoritative Source),SC,Moderate,Inherited,Customer,Inherited from cluster DNS/CSP,P4,,Authoritative DNS inherited from cluster/CSP; egress scoped in P4.
SC-21,Secure Name/Address Resolution Service (Recursive or Caching Resolver),SC,Moderate,Inherited,Customer,Inherited from cluster DNS/CSP,P4,,Recursive resolver inherited from cluster CoreDNS/CSP.
SC-22,Architecture and Provisioning for Name/Address Resolution Service,SC,Moderate,Inherited,Customer,Inherited from cluster DNS/CSP,P4,,DNS architecture inherited from cluster/CSP.
SC-23,Session Authenticity,SC,Moderate,Planned,System,see P3,P3,,TLS session authenticity on all planes + token binding in P3.
SC-28,Protection of Information at Rest,SC,Moderate,Planned,System,see P2,P2,POAM-005,CRDs in etcd; etcd encryption-at-rest verification + app at-rest crypto in P2.
SC-28(1),Protection of Information at Rest | Cryptographic Protection,SC,Moderate,Planned,Shared,see P2,P2,POAM-005,Encryption-at-rest via CSP/etcd KMS + FIPS module; verified in P2.
SC-39,Process Isolation,SC,Moderate,Partial,System,charts/kube-policies/values.yaml,P5,,"Container isolation (distroless, non-root, dropped caps); restricted PSS in P5."
SI-1,Policy and Procedures,SI,Moderate,Planned,CSP,see P12,P12,POAM-010,SI -1 policy authored in P12.
SI-2,Flaw Remediation,SI,Moderate,Partial,System,.github/workflows/ci.yml,P6,POAM-008,Scanning produces signal but no SLA/patch process; flaw-remediation cadence + gating in P6/P11.
SI-2(2),Flaw Remediation | Automated Flaw Remediation Status,SI,Moderate,Planned,System,see P6,P6,POAM-008,Automated remediation-status tracking via scan + POA&M in P6/P11.
SI-3,Malicious Code Protection,SI,Moderate,Planned,System,see P6,P6,,Image scanning (trivy) + signature verification admission in P6/P10.
SI-4,System Monitoring,SI,Moderate,Partial,System,internal/metrics/collector.go,P9,,Prometheus collector + Alertmanager exist (PoC); IDS-grade detection/SIEM in P9.
SI-4(2),System Monitoring | Automated Tools and Mechanisms for Real-Time Analysis,SI,Moderate,Planned,Shared,see P9,P9,,Real-time SIEM analysis in P9.
SI-4(4),System Monitoring | Inbound and Outbound Communications Traffic,SI,Moderate,Planned,Shared,see P9,P9,,Traffic monitoring (NetworkPolicy logs + SIEM) in P4/P9.
SI-4(5),System Monitoring | System-Generated Alerts,SI,Moderate,Planned,Shared,internal/metrics/collector.go,P9,,System-generated security alerts packaged as PrometheusRule in P9.
SI-5,"Security Alerts, Advisories, and Directives",SI,Moderate,Planned,CSP,see P11,P11,,CISA/vendor advisory intake process in P11/P12.
SI-6,Security and Privacy Function Verification,SI,Moderate,Planned,System,see P11,P11,,Self-test/function verification of security controls in P11.
SI-7,"Software, Firmware, and Information Integrity",SI,Moderate,Planned,System,see P6,P6,POAM-006,Image-signature verification + SBOM/provenance integrity in P6.
SI-7(1),"Software, Firmware, and Information Integrity | Integrity Checks",SI,Moderate,Planned,System,see P6,P6,POAM-006,Integrity checks at admission (cosign verify) in P6/P10.
SI-8,Spam Protection,SI,Moderate,Not-Applicable,System,N/A - no email/messaging in boundary,P9,,System has no email/messaging components.
SI-10,Information Input Validation,SI,Moderate,Partial,System,internal/config/config.go,P3,,Config + admission input validation present; API request validation hardened in P3/P11.
SI-11,Error Handling,SI,Moderate,Partial,System,internal/policymanager/router.go,P11,,gin.Recovery() handles panics; structured error handling/no-leak review in P11.
SI-12,Information Management and Retention,SI,Moderate,Planned,Shared,see P7,P7,,Audit/data retention policy defined in P7; long-term in P9.
SI-16,Memory Protection,SI,Moderate,Partial,System,charts/kube-policies/values.yaml,P5,,Go memory safety + non-root/read-only FS; seccomp RuntimeDefault in P5.
SR-1,Policy and Procedures,SR,Moderate,Planned,CSP,see P12,P12,POAM-010,SR -1 policy authored in P12.
SR-2,Supply Chain Risk Management Plan,SR,Moderate,Planned,CSP,see P6,P6,,SCRM plan authored in P6/P12.
SR-2(1),Supply Chain Risk Management Plan | Establish SCRM Team,SR,Moderate,Planned,CSP,see P12,P12,,SCRM team designation in P12.
SR-3,Supply Chain Controls and Processes,SR,Moderate,Partial,System,.github/workflows/release.yml,P6,POAM-006,SBOM generation exists but unverified at consumption; provenance + verification controls in P6.
SR-4,Provenance,SR,Moderate,Planned,System,.github/workflows/release.yml,P6,POAM-006,SLSA provenance attestation (build-by-digest) added in P6.
SR-5,"Acquisition Strategies, Tools, and Methods",SR,Moderate,Planned,System,see P6,P6,,Pinned dependencies/actions + acquisition controls in P1/P6.
SR-6,Supplier Assessments and Reviews,SR,Moderate,Planned,CSP,see P6,P6,,Supplier/dependency review in P6.
SR-8,Notification Agreements,SR,Moderate,Planned,CSP,see P12,P12,,Supplier notification agreements in P12.
SR-9,Tamper Resistance and Detection,SR,Moderate,Planned,System,see P6,P6,POAM-006,Image digest pinning + signature verification provide tamper detection in P6.
SR-10,Inspection of Systems or Components,SR,Moderate,Planned,System,see P6,P6,,Component inspection via SBOM/scan/verify in P6.
SR-11,Component Authenticity,SR,Moderate,Planned,System,see P6,P6,POAM-006,Cosign signature verification establishes authenticity in P6.
SR-11(1),Component Authenticity | Anti-Counterfeit Training,SR,Moderate,Planned,CSP,see P12,P12,,Anti-counterfeit awareness in P12.
SR-11(2),Component Authenticity | Configuration Control for Component Service and Repair,SR,Moderate,Planned,System,see P6,P6,,Config control for component repair via GitOps in P6.
SR-12,Component Disposal,SR,Moderate,Planned,Shared,see P12,P12,,Component/image disposal procedure in P12.
PM-1,Information Security Program Plan,PM,Moderate,Planned,CSP,see P12,P12,,Org infosec program plan (P12).
PM-2,Information Security Program Leadership Role,PM,Moderate,Planned,CSP,see P12,P12,,ISSO/senior-official role (TBD - assign) designated in P12.
PM-3,Information Security and Privacy Resources,PM,Moderate,Planned,CSP,see P12,P12,,Program resourcing in P12.
PM-4,Plan of Action and Milestones Process,PM,Moderate,Partial,CSP,docs/compliance/poam.csv,P0,,POA&M process established (poam.csv); program-level tracking matured in P12.
PM-5,System Inventory,PM,Moderate,Partial,CSP,docs/compliance/inventory.csv,P0,,System inventory established (AST-*); org-wide inventory program in P12.
PM-6,Measures of Performance,PM,Moderate,Planned,CSP,see P9,P9,,Security performance measures via ConMon metrics in P9/P12.
PM-7,Enterprise Architecture,PM,Moderate,Planned,CSP,see P12,P12,,Enterprise architecture alignment in P12.
PM-9,Risk Management Strategy,PM,Moderate,Planned,CSP,see P12,P12,,Org risk-management strategy in P12.
PM-10,Authorization Process,PM,Moderate,Planned,CSP,see P12,P12,,Authorization/ATO process in P12.
PM-11,Mission and Business Process Definition,PM,Moderate,Planned,CSP,see P12,P12,,Mission/business process definition in P12.
