poam_id,weakness,source,control_id,severity,remediation,milestones,scheduled_completion,status,risk_rating,owner
POAM-042,"Audit LogConfigChange/LogSystemEvent synthesize correlation_id and request_id from time.Now().UnixNano(): two events generated within the same nanosecond tick (or on coarse-resolution clocks) can collide, undermining the uniqueness guarantee that AU-3/AU-12 correlation relies on for time-correlated trail reconstruction.",internal independent review (P12-WU-04),AU-3,Moderate,"Generate correlation_id / request_id with a UUID (e.g. github.com/google/uuid) instead of UnixNano, guaranteeing uniqueness independent of clock resolution. Add a test asserting two events created in a tight loop have distinct IDs.",M1 Replace UnixNano ID synthesis with UUID; M2 uniqueness test; M3 verify downstream correlation/dedup logic still keys correctly.,2026-08-31,Open,Moderate,Engineering (TBD — assign)
POAM-043,"require-image-digest rule uses a substring '@sha256:' check, not an anchored 64-hex digest: the opt-in require-digest policy rule matches any reference containing the literal '@sha256:' substring, so a crafted/malformed reference (e.g. trailing or short hex) can pass the digest-pinning check without being a valid 64-hex sha256 digest (CM-6, opt-in rule).",internal independent review (P12-WU-04),CM-6,Moderate,"Replace the substring check with an anchored regular expression requiring @sha256: followed by exactly 64 lowercase hex characters at end of reference. Add positive/negative fixtures (valid digest passes; short/long/non-hex rejected).",M1 Anchored 64-hex regex; M2 positive/negative rule fixtures; M3 golden-test the rule in the policy suite.,2026-08-31,Open,Moderate,Engineering (TBD — assign)
POAM-044,"Audit redaction key-substring allow-list misses common credential key names: the redaction pass keys off a substring list that omits authorization, access_key, connection, dsn, webhook, sas, jwt, and pem, so audit records can persist these credential-bearing fields in cleartext before the HMAC seal (AU-3(1) over-collection / SC-28 at-rest exposure).",internal independent review (P12-WU-04),AU-3(1),Moderate,"Expand the redaction key-substring list to include authorization/access_key/connection/dsn/webhook/sas/jwt/pem (and review for further common credential key names). Add a test asserting each new key is redacted before seal.",M1 Expand redaction key list; M2 per-key redaction test; M3 review record schema for other credential-bearing fields.,2026-08-31,Open,Moderate,Engineering (TBD — assign)
POAM-045,"forward-auth mode trusts client-supplied X-Forwarded-Access-Token / X-Forwarded-User headers with no in-binary guard: when the management plane runs behind an auth proxy in forward-auth mode, it consumes identity headers without verifying it is actually behind a trusted proxy, so a direct caller (absent a NetworkPolicy boundary) can spoof identity by setting those headers (IA-2/AC-3).",internal independent review (P12-WU-04),IA-2,Moderate,"Add a startup gate that refuses forward-auth mode unless an explicit trusted-proxy configuration is set, and document the NetworkPolicy boundary as a hard prerequisite for forward-auth deployments. Reject/strip the forwarded-identity headers on requests that do not arrive via the trusted path.",M1 Startup gate requiring trusted-proxy config in forward-auth mode; M2 strip/reject spoofable headers off the untrusted path; M3 document NetworkPolicy prerequisite in the deployment guide.,2026-08-31,Open,Moderate,Engineering (TBD — assign)
POAM-046,"policy-manager evaluate/test handlers io.ReadAll the request body with no MaxBytesReader floor when the rate-limiter is disabled: the body-size cap is enforced by the rate-limit middleware, so disabling the rate limiter removes the request-body ceiling on the evaluate/test RPCs, leaving them open to an unbounded-allocation memory-exhaustion DoS (SC-5).",internal independent review (P12-WU-04),SC-5,Moderate,"Wrap the evaluate/test handler bodies with http.MaxBytesReader at a hard floor independent of the rate-limit middleware, so the body ceiling holds even when rate limiting is off. Add a test posting an oversized body and asserting 413.",M1 MaxBytesReader floor on evaluate/test handlers; M2 oversized-body 413 test; M3 audit other ReadAll sites for the same gap.,2026-08-31,Open,Moderate,Engineering (TBD — assign)
POAM-047,"SIEM forward backend pins a TLS 1.2 floor (vs TLS 1.3 elsewhere) and exposes an insecure-skip-verify opt-in with no production guard: the audit forward output's TLS config is inconsistent with the system-wide TLS 1.3 floor, and the skip-verify toggle can disable server-cert verification on the audit-shipping channel with nothing preventing its use in production (SC-8).",internal independent review (P12-WU-04),SC-8,Low,"Make the forward-backend TLS floor configurable, default it to TLS 1.3 to match the rest of the system, and refuse insecure-skip-verify when running in a production profile (gate the toggle behind an explicit non-production flag). Add a test asserting the default floor and the production refusal.",M1 Configurable TLS floor default 1.3; M2 production-profile refusal of skip-verify; M3 test default + refusal paths.,2026-11-29,Open,Low,Engineering (TBD — assign)
POAM-048,"Code-quality cleanups identified in independent review (SA-15 development-process hygiene; no direct exploit): (a) vestigial Manager.ctx/cancel fields are carried but unused; (b) the audit Context.Object field aliases the live request payload across the async flush boundary, risking a data race / mutation-after-handoff; (c) RecentDecisions accepts a negative limit and relies on a downstream clamp rather than validating at the boundary.",internal independent review (P12-WU-04),SA-15,Low,"Cleanups: remove the vestigial Manager.ctx/cancel; deep-copy (or document the immutability contract of) the audit Context.Object before the async flush so the async path never aliases a mutable live payload; validate the RecentDecisions limit at the boundary instead of relying on a downstream clamp.",M1 Remove vestigial ctx/cancel; M2 deep-copy/immutability fix for audit Context.Object; M3 validate RecentDecisions limit at boundary.,2026-11-29,Open,Low,Engineering (TBD — assign)
POAM-049,"Internal independent review (P12-WU-04) identified three security/correctness weaknesses that were REMEDIATED in the same cycle, recorded here for register completeness and closure traceability: (1) HIGH (SSRF/exfil) — request- and CRD-supplied Rego was compiled and executed with OPA's full default capability set (http.send, net.lookup_ip_addr, opa.runtime); (2) HIGH (DoS) — admission evaluation used context.Background() with no deadline against the apiserver's <=10s admission timeout; (3) MODERATE (DoS) — the policy-manager evaluate/test RPCs had no per-evaluation timeout. All three are CLOSED, not open.",internal independent review (P12-WU-04),SI-10,High,"REMEDIATED in commit 055a8c0 (P12-WU-04): (1) internal/policy/lib_loader.go builds a restricted OPA capability set (strips http.send/net.lookup_ip_addr/opa.runtime/rego.parse_module/trace) + StrictBuiltinErrors, applied at the only two rego.New sites (engine.go preparedQueryFor, policy_validation.go ValidateRuleRego) covering the admission engine, evaluate/test/validate RPCs, and the CRD reconciler; (2) controller.go derives a 2s context.WithTimeout from the admission request; (3) the policy-manager evaluate/test RPCs get a 5s bound. New tests prove http.send/net.lookup_ip_addr/opa.runtime rules are rejected and legitimate rules still compile.",M1 DONE: untrusted-Rego capability sandbox + StrictBuiltinErrors at both rego.New sites; M2 DONE: 2s admission eval deadline derived from the request context; M3 DONE: 5s evaluate/test RPC timeout — go build + all unit/pkg tests (incl new sandbox tests) + golangci-lint 0 + gosec 0.,2026-06-02,"Remediated (Closed 2026-06-02): all three findings fixed and verified before assembling the authorization package. Evidence: commit 055a8c0 (P12-WU-04) — internal/policy/lib_loader.go, internal/policy/engine.go, internal/policy/policy_validation.go (+_test.go), internal/admission/controller.go, internal/policymanager/evaluate_handler.go, internal/policymanager/test_handler.go.",High,Engineering (TBD — assign)
POAM-050,"Role-based security training program and records are not established: AT-1 policy exists, but the AT-2 literacy/awareness and AT-3 role-based training content, delivery, and AT-4 training records for ISSO/administrators/maintainers are organizational and not codebase-resolvable; required for ATO but not produced by repository work.",internal independent review (P12-WU-04),AT-2,Moderate,"Program/organization owner: author role-based training content for security roles (ISSO, administrators, maintainers), deliver it, and retain AT-4 training records. Coordinate with the CSP/operator security-awareness program where inherited.",M1 Role-based training content authored (AT-3); M2 delivery to assigned roles (AT-2); M3 training-record retention established (AT-4).,2026-12-31,Open,Moderate,System Owner (TBD — assign)
POAM-051,"Operational maintenance controls are procedural and unstaffed: MA-2 controlled maintenance, MA-4 nonlocal maintenance, and MA-5 maintenance personnel are operator/organizational responsibilities (GitOps/rolling-upgrade maintenance procedure, authenticated remote-maintenance over TLS planes, maintenance-personnel vetting). Required for ATO but not codebase-resolvable.",internal independent review (P12-WU-04),MA-2,Moderate,"Operator/program owner: author the controlled-maintenance procedure (MA-2), document nonlocal/remote maintenance over the authenticated TLS management planes (MA-4), and confirm maintenance-personnel vetting (MA-5, inherited from CSP/operator HR where applicable).",M1 Controlled-maintenance procedure (MA-2); M2 nonlocal-maintenance procedure (MA-4); M3 maintenance-personnel control confirmed (MA-5).,2026-12-31,Open,Moderate,System Owner (TBD — assign)
POAM-052,"Media-handling controls are CSP-inherited or operator-owned and not yet confirmed: MP-1 policy exists, but MP-2 media access, MP-3 marking, MP-4 storage, MP-5 transport, MP-6 sanitization, and MP-7 media use must be claimed via the hosting CSP's FedRAMP authorization (physical media) or authored by the operator (removable-media use). Required for ATO but not codebase-resolvable.",internal independent review (P12-WU-04),MP-2,Moderate,"Operator/program owner: confirm MP-2..MP-6 inheritance against the specific CSP's FedRAMP package in the CRM, and author the removable-media use policy (MP-7) for operator workstations.",M1 Confirm MP-2..MP-6 CSP inheritance in CRM; M2 author MP-7 removable-media use policy; M3 record inheritance evidence in the authorization package.,2026-12-31,Open,Moderate,System Owner (TBD — assign)
POAM-053,"Physical and environmental protection (PE family) inheritance not yet confirmed against the specific CSP authorization package: the control matrix marks the entire PE family Inherited-from-CSP, but the inheritance must be verified against the named hosting CSP's current FedRAMP authorization and recorded in the CRM per deployment environment. Required for ATO but not codebase-resolvable.",internal independent review (P12-WU-04),PE-1,Moderate,"Operator/program owner: identify the specific hosting CSP and its FedRAMP package, confirm the PE-1..PE-17 inheritance claims against that package, and record the CSP-provided inheritance evidence (CRM/CIS-responsibility matrix) in the authorization package.",M1 Identify hosting CSP + FedRAMP package; M2 confirm PE-family inheritance against CSP CRM; M3 attach CSP inheritance evidence to the authorization package.,2026-12-31,Open,Moderate,System Owner (TBD — assign)
POAM-054,"Personnel screening and position-risk controls are unstaffed: PS-1 policy + roles-RACI exist, but PS-3 personnel screening and PS-7 external-personnel security (along with PS-2 position-risk designation tracked under POAM-018) are HR/program-owned and depend on assigned personnel. Required for ATO but not codebase-resolvable.",internal independent review (P12-WU-04),PS-3,Moderate,"Program/HR owner: perform personnel screening for designated security roles (PS-3) and establish external-personnel security agreements/controls (PS-7). Coordinate with CSP/operator HR where screening is inherited.",M1 Personnel screening of assigned roles (PS-3); M2 external-personnel security controls (PS-7); M3 record screening evidence (out-of-band) for the assessor.,2026-12-31,Open,Moderate,System Owner (TBD — assign)
POAM-055,"Privacy threshold/impact determination not yet made: audit records may embed PII (source IP, user-agent, principal) even though redaction is in place, so a human must determine whether a Privacy Threshold Analysis (PTA) and, if triggered, a Privacy Impact Assessment (PIA) are required under FedRAMP. Required for ATO but not codebase-resolvable.",internal independent review (P12-WU-04),PL-2,Moderate,"Program/privacy owner: complete a Privacy Threshold Analysis to determine whether the system processes PII requiring a PIA; if triggered, author the PIA and reflect the privacy controls in the SSP/privacy plan. Reference the existing AUD redaction as a mitigating control.",M1 Complete PTA; M2 if triggered author PIA; M3 reflect privacy determination + controls in the SSP/privacy plan.,2026-12-31,Open,Moderate,System Owner (TBD — assign)
POAM-056,"OIDC IdP selection and AC-2 account lifecycle depend on an out-of-repo identity provider: the mgmt-plane OIDC authN and RBAC are implemented but config-gated, and the federated IdP that anchors them (issuer/JWKS, AAL decisions) plus the AC-2 automated account-provisioning/disablement lifecycle are external and must be selected and operated by the operator. Required for ATO but not codebase-resolvable.",internal independent review (P12-WU-04),AC-2,Moderate,"Operator/program owner: select and operate a federated OIDC IdP, document AAL decisions, enable the config-gated mgmt-plane authentication against it, and document the AC-2 account-provisioning/disablement lifecycle against the chosen IdP.",M1 Select/operate OIDC IdP + document AAL; M2 enable config-gated authN against the IdP; M3 document AC-2 account lifecycle against the IdP.,2026-12-31,Open,Moderate,System Owner (TBD — assign)
POAM-057,"P12 human-owned assessment activities are not yet executed: the pen-test plan, Security Assessment Plan, and ConMon plan are authored in-repo, but their EXECUTION requires out-of-band human action — independent 3PAO penetration-test execution, the external independent control assessment (CA-2(1)), and the AO authorization decision (CA-6/PM-10) — none of which can be closed by repository work.",internal independent review (P12-WU-04),CA-2,High,"Program owner / 3PAO / AO: engage an independent 3PAO to execute the penetration test and independent control assessment against the authored SAP, then route the assembled authorization package to the Authorizing Official for the authorization decision.","M1 Engage 3PAO + execute pen test (CA-2(2)/CA-8); M2 external independent control assessment (CA-2(1)); M3 AO authorization decision (CA-6/PM-10). SLA NOTE: this is a human-owned, out-of-band program activity (3PAO/AO scheduling), not a code-remediable vulnerability, so it is NOT on the 30-day vuln-remediation SLA clock; the 2026-12-31 target is the P12 program milestone (consistent with the other High program items POAM-019/POAM-025/POAM-031). Per poam-template.md §2 the schedule beyond the nominal window is justified here and the item is owned by the AO.",2026-12-31,Open,High,Authorizing Official (TBD — assign)
